Meal_Type,Category,Food_Item,Calories (kcal),Protein (g),label_hasil
2,4,13,0.22363636363636366,0.8448979591836734,2
2,2,0,0.029090909090909084,0.7795918367346939,5
0,4,8,0.31999999999999995,0.5326530612244897,1
3,2,1,0.12,0.8653061224489794,5
2,2,1,0.8181818181818181,0.6714285714285714,5
1,3,19,0.6127272727272727,0.6163265306122448,2
1,6,6,0.16,0.5551020408163264,3
3,5,12,0.034545454545454546,0.7306122448979591,1
0,2,0,0.9418181818181818,0.1163265306122449,5
3,3,27,0.28,0.373469387755102,2
2,3,19,0.10545454545454544,0.8081632653061224,2
1,6,32,0.12181818181818183,0.6816326530612243,3
3,0,21,0.17636363636363636,0.3897959183673469,4
2,5,12,0.76,0.4632653061224489,1
2,4,2,0.19454545454545455,0.5408163265306122,1
2,4,25,0.609090909090909,0.30204081632653057,1
2,3,19,0.4490909090909091,0.720408163265306,2
0,2,14,0.40727272727272723,0.8448979591836734,5
2,0,17,0.5509090909090909,0.4693877551020408,4
0,4,13,0.9436363636363635,0.06734693877551019,2
1,3,23,0.3036363636363636,0.5530612244897959,2
0,3,19,0.8036363636363636,0.6489795918367346,2
3,2,20,0.31272727272727274,0.41020408163265304,5
3,3,23,0.5181818181818182,0.7551020408163265,2
0,5,18,0.9127272727272727,0.5081632653061223,1
0,1,7,0.3672727272727273,0.346938775510204,0
2,2,31,0.16545454545454544,0.36734693877551017,5
2,3,19,0.52,0.8591836734693877,2
0,1,5,0.4818181818181818,0.7510204081632652,0
1,0,21,0.9145454545454544,0.8795918367346938,4
0,3,27,0.8109090909090909,0.34897959183673466,2
2,3,28,0.16727272727272727,0.2775510204081632,2
0,3,19,0.03818181818181818,0.061224489795918366,2
1,2,31,0.9909090909090909,0.6428571428571428,5
1,2,20,0.20909090909090908,0.13673469387755102,5
3,1,34,0.9418181818181818,0.5408163265306122,0
3,1,5,0.7036363636363636,0.8204081632653061,0
0,3,27,0.26363636363636367,0.8979591836734693,2
3,4,2,0.03818181818181818,0.6612244897959183,1
3,2,0,0.40181818181818185,0.2591836734693877,5
3,1,7,0.5509090909090909,0.6755102040816326,0
1,6,4,0.30727272727272725,0.6448979591836734,3
0,0,33,0.22,0.946938775510204,4
2,4,2,0.889090909090909,0.8591836734693877,1
3,4,2,0.06545454545454546,0.973469387755102,1
3,1,22,0.22363636363636366,0.43061224489795913,0
2,1,7,0.5618181818181818,0.6244897959183673,0
3,4,29,0.8327272727272726,0.08775510204081632,1
0,2,14,0.4436363636363636,0.4204081632653061,5
1,1,34,0.4818181818181818,0.07551020408163266,0
1,5,18,0.25636363636363635,0.5673469387755101,1
2,2,0,0.7909090909090909,0.9836734693877551,5
1,1,16,0.42181818181818176,0.5979591836734693,0
3,4,29,0.41999999999999993,0.3795918367346939,1
2,3,27,0.33272727272727276,0.7877551020408162,2
1,4,2,0.24363636363636362,0.36734693877551017,1
3,4,25,0.7254545454545455,0.8836734693877549,1
3,4,8,0.9036363636363636,0.3938775510204081,1
1,4,8,0.42727272727272725,0.2632653061224489,1
0,2,1,0.3527272727272728,0.0326530612244898,5
2,0,11,0.7890909090909091,0.5857142857142856,4
3,4,8,0.9854545454545455,0.6877551020408164,1
1,2,20,0.012727272727272726,0.1510204081632653,5
1,4,13,0.6981818181818181,0.9489795918367346,2
0,6,4,0.8672727272727272,0.3081632653061224,3
1,1,5,0.8872727272727272,0.720408163265306,0
1,0,11,0.4109090909090909,0.40204081632653055,4
1,2,0,0.9236363636363637,0.2306122448979592,5
3,2,31,0.4690909090909091,0.8387755102040816,5
0,2,14,0.01090909090909091,0.8346938775510203,5
2,4,25,0.9363636363636364,0.07755102040816327,1
1,1,7,0.07454545454545455,0.2061224489795918,0
2,6,30,0.42181818181818176,0.22448979591836735,3
2,3,23,0.9327272727272727,0.9183673469387754,2
2,5,12,0.9381818181818181,0.9061224489795917,1
3,6,6,0.4818181818181818,0.16530612244897958,3
2,1,5,0.30181818181818176,0.21428571428571427,0
3,2,20,0.9799999999999999,0.96734693877551,5
2,2,20,0.6018181818181818,0.9918367346938775,5
3,6,26,0.2018181818181818,0.5999999999999999,3
2,4,8,0.012727272727272726,0.43469387755102035,1
3,3,19,0.8163636363636363,0.7265306122448979,2
1,0,21,0.6581818181818182,0.8346938775510203,4
1,0,11,0.9545454545454545,0.7632653061224489,4
3,5,12,0.5672727272727273,0.9428571428571428,1
2,2,31,0.8036363636363636,0.6795918367346937,5
3,3,23,0.7636363636363636,0.310204081632653,2
2,1,5,0.8345454545454545,0.9081632653061223,0
2,2,1,0.44727272727272727,0.11836734693877551,5
3,0,33,0.2381818181818182,0.11428571428571427,4
0,2,20,0.9490909090909091,0.7979591836734693,5
2,0,17,0.8309090909090909,0.963265306122449,4
1,2,14,0.5381818181818182,0.7285714285714285,5
1,6,26,0.8854545454545454,0.8857142857142856,3
2,0,15,0.6818181818181818,0.4510204081632653,4
1,5,18,0.9272727272727271,0.7163265306122448,1
1,0,17,0.1781818181818182,0.7816326530612243,4
2,5,18,0.4945454545454545,0.7142857142857142,1
0,5,12,0.34545454545454546,0.41632653061224484,1
1,1,34,0.17090909090909093,0.9020408163265305,0
1,4,8,0.7272727272727273,0.34897959183673466,1
1,3,3,0.7581818181818182,0.07142857142857142,2
1,5,18,0.47090909090909083,0.4326530612244897,1
2,0,11,0.9890909090909091,0.28979591836734686,4
3,3,28,0.8672727272727272,0.7122448979591836,2
3,3,3,0.4618181818181818,0.35918367346938773,2
2,1,16,0.3363636363636363,0.23265306122448978,0
1,1,16,0.2290909090909091,0.7244897959183673,0
1,6,6,0.7890909090909091,0.2571428571428571,3
1,1,5,0.14727272727272728,0.6857142857142856,0
1,2,31,0.8963636363636364,0.5857142857142856,5
3,4,2,0.0709090909090909,0.02857142857142857,1
1,4,25,0.5618181818181818,0.2,1
3,4,2,0.5309090909090909,0.36530612244897953,1
0,3,3,0.0,0.35510204081632646,2
1,4,29,0.6418181818181817,0.9408163265306122,1
0,1,7,0.39454545454545453,0.8693877551020408,0
1,4,2,0.8854545454545454,1.0,1
2,6,26,0.8527272727272727,0.2755102040816326,3
2,4,29,0.21454545454545457,0.683673469387755,1
2,0,11,0.13090909090909092,0.32857142857142857,4
2,5,10,0.18727272727272729,0.9326530612244898,1
1,6,6,0.3872727272727273,0.6612244897959183,3
0,6,30,0.36909090909090914,0.21428571428571427,3
2,6,6,0.7963636363636364,0.07346938775510203,3
3,6,26,0.9363636363636364,0.973469387755102,3
2,2,14,0.23454545454545453,0.008163265306122446,5
0,1,7,0.2963636363636364,0.33265306122448973,0
3,6,4,0.5545454545454546,0.8877551020408162,3
1,5,18,0.2327272727272727,0.5510204081632653,1
0,3,3,0.8727272727272727,0.720408163265306,2
1,0,33,0.6672727272727272,0.13673469387755102,4
1,5,9,0.5727272727272728,0.573469387755102,1
1,2,1,0.1636363636363636,0.3693877551020408,5
1,5,10,0.10181818181818181,0.7734693877551019,1
2,1,7,0.6545454545454545,0.4673469387755101,0
1,1,22,0.3145454545454546,0.5938775510204081,0
0,1,7,0.19999999999999998,0.8183673469387754,0
3,0,15,0.3163636363636364,0.43469387755102035,4
0,5,10,0.52,0.8122448979591835,1
3,6,4,0.5327272727272727,0.8326530612244897,3
3,2,20,0.7345454545454545,0.8653061224489794,5
3,3,3,0.2709090909090909,0.10612244897959183,2
1,6,26,0.7163636363636363,0.563265306122449,3
0,5,9,0.16181818181818183,0.12244897959183673,1
2,2,0,0.1290909090909091,0.1571428571428571,5
3,3,28,0.4309090909090909,0.024489795918367346,2
3,6,4,0.8927272727272727,0.1163265306122449,3
2,3,23,0.9872727272727272,0.3448979591836734,2
1,6,4,0.4745454545454545,0.41428571428571426,3
2,3,3,0.9763636363636364,0.3959183673469387,2
2,2,14,0.62,0.236734693877551,5
1,3,3,0.052727272727272734,0.18367346938775508,2
3,2,14,0.0309090909090909,0.5448979591836733,5
1,1,7,0.9763636363636364,0.09183673469387754,0
3,1,5,0.15636363636363637,0.6673469387755102,0
2,2,1,0.9290909090909091,0.9061224489795917,5
3,2,20,0.7218181818181818,0.16326530612244897,5
2,0,17,0.28,0.49795918367346925,4
2,0,33,0.9454545454545454,0.7877551020408162,4
2,2,0,0.8563636363636363,0.35918367346938773,5
1,3,27,0.7836363636363636,0.5755102040816326,2
1,5,18,0.58,0.7591836734693878,1
1,1,34,0.9418181818181818,0.026530612244897955,0
2,1,34,0.22181818181818183,0.12040816326530612,0
3,6,30,0.27454545454545454,0.8163265306122448,3
0,0,15,0.6436363636363636,0.22653061224489793,4
0,5,10,0.8745454545454545,0.38775510204081626,1
2,6,30,0.11818181818181817,0.1571428571428571,3
0,4,29,0.016363636363636358,0.720408163265306,1
2,5,24,0.7836363636363636,0.7673469387755102,1
3,0,17,0.5054545454545454,0.11836734693877551,4
2,2,1,0.5599999999999999,0.536734693877551,5
2,4,13,0.8727272727272727,0.8693877551020408,2
3,4,13,0.08181818181818182,0.7387755102040816,2
2,5,10,0.6072727272727273,0.12448979591836734,1
0,0,17,0.09636363636363637,0.5959183673469387,4
3,6,6,0.43454545454545457,0.26530612244897955,3
3,5,10,0.9109090909090908,0.7061224489795918,1
3,3,19,0.8127272727272727,0.346938775510204,2
1,0,17,0.6618181818181817,0.4285714285714285,4
1,6,30,0.28181818181818186,0.0020408163265306124,3
0,4,29,0.9527272727272728,0.3959183673469387,1
1,5,18,0.6963636363636363,0.8061224489795917,1
0,2,1,0.9018181818181817,0.2306122448979592,5
0,0,33,0.6545454545454545,0.32448979591836724,4
1,2,0,0.052727272727272734,0.34897959183673466,5
0,6,32,0.8181818181818181,0.36326530612244895,3
1,2,14,0.6818181818181818,0.4959183673469387,5
0,5,12,0.11454545454545453,0.41632653061224484,1
0,5,10,0.24545454545454545,0.02857142857142857,1
0,0,33,0.9254545454545454,0.5163265306122449,4
0,4,13,0.7854545454545454,0.736734693877551,2
3,5,12,0.8945454545454545,0.3183673469387755,1
2,6,6,0.4545454545454545,0.17346938775510204,3
0,1,5,0.7909090909090909,0.5142857142857142,0
1,0,21,0.03818181818181818,0.1163265306122449,4
0,6,26,0.2381818181818182,0.8591836734693877,3
3,4,25,0.509090909090909,0.3918367346938775,1
2,5,10,0.3618181818181818,0.21224489795918366,1
3,6,30,0.3163636363636364,0.8265306122448979,3
1,0,11,0.3563636363636363,0.2877551020408163,4
2,4,2,0.8163636363636363,0.5285714285714285,1
1,1,22,0.26181818181818184,0.10612244897959183,0
2,1,16,0.26181818181818184,0.3346938775510203,0
1,4,29,0.2727272727272727,0.42448979591836733,1
3,3,28,0.3527272727272728,0.19591836734693877,2
0,1,22,0.24545454545454545,0.43469387755102035,0
2,2,31,0.30727272727272725,0.5081632653061223,5
3,4,29,0.6418181818181817,0.15918367346938775,1
0,2,14,0.2981818181818182,0.20204081632653062,5
0,2,0,0.2545454545454545,0.3142857142857142,5
0,5,12,0.19454545454545455,0.42244897959183664,1
2,0,17,0.9090909090909091,0.9836734693877551,4
3,0,17,0.489090909090909,0.6408163265306122,4
1,5,24,0.03272727272727273,0.9020408163265305,1
2,2,1,0.8527272727272727,0.1,5
1,6,6,0.9454545454545454,0.7795918367346939,3
0,5,12,0.6472727272727272,0.5979591836734693,1
1,0,21,0.9799999999999999,0.20816326530612242,4
0,2,20,0.018181818181818174,0.6918367346938774,5
1,0,15,0.8763636363636363,0.3061224489795918,4
3,2,0,0.7418181818181818,0.7326530612244897,5
1,6,26,0.5945454545454545,0.9979591836734694,3
0,4,25,0.9327272727272727,0.17346938775510204,1
0,5,24,0.28,0.9918367346938775,1
1,2,20,0.3054545454545454,0.736734693877551,5
2,5,10,0.58,0.6551020408163265,1
3,6,4,0.7509090909090909,0.8959183673469386,3
0,1,16,0.7945454545454546,0.3224489795918367,0
2,4,8,0.06181818181818183,0.6040816326530611,1
3,1,34,0.19272727272727272,0.0,0
3,5,18,0.27636363636363637,0.22244897959183674,1
1,5,12,0.9236363636363637,0.8020408163265305,1
2,6,6,0.8163636363636363,0.8530612244897958,3
1,0,11,0.8527272727272727,0.563265306122449,4
3,5,9,0.3363636363636363,0.5714285714285714,1
3,1,5,0.44545454545454544,0.6755102040816326,0
3,3,27,0.49636363636363634,0.4897959183673469,2
2,5,10,0.3545454545454545,0.9204081632653061,1
1,0,21,0.649090909090909,0.2959183673469387,4
0,4,8,0.7909090909090909,0.957142857142857,1
0,3,19,0.6854545454545454,0.49183673469387756,2
0,4,29,0.4127272727272727,0.29999999999999993,1
0,6,6,0.8054545454545454,0.6244897959183673,3
0,5,12,0.5236363636363636,0.08979591836734695,1
1,6,32,0.9527272727272728,0.28367346938775506,3
2,6,32,0.8436363636363636,0.28367346938775506,3
3,4,29,0.02181818181818182,0.09591836734693877,1
0,2,0,0.2654545454545455,0.13673469387755102,5
